ID	Tweet	Affect Dimension	Intensity Class
2017-En-30982	I envy the relentless, your cheerful smile aimed at the pouring rain, your positive attitude is an art you have continually mastered.	joy	1: low amount of joy can be inferred
2017-En-31382	I fear that if United bottle this my heart would actually collapse from laughter.	joy	3: high amount of joy can be inferred
2017-En-30745	Early morning cheerfulness can be extremely obnoxious #ALDUB62ndWeeksary	joy	0: no joy can be inferred
2017-En-30865	When we give cheerfully and accept gratefully, everyone is blessed. »Maya Angelou	joy	3: high amount of joy can be inferred
2017-En-30687	@SXMUrbanView @karenhunter @CousinSyl you are so wrong for this!needed levity after that recording	joy	0: no joy can be inferred
2017-En-30769	@govph I would like to know about the source of The President's optimism about running the country. I wonder if he can answer my curiosity.	joy	0: no joy can be inferred
2017-En-31441	Watching the NY Phil webcast.  Something missing.  Reminds me of a blithe Journey's End I once saw on Bway.  Might just be the Gershwin.	joy	0: no joy can be inferred
2017-En-30818	It's just the lack of company and liveliness out here that makes me bored.	joy	0: no joy can be inferred
2017-En-30000	Just got back from seeing @GaryDelaney in Burslem. AMAZING!! Face still hurts from laughing so much #hilarious	joy	3: high amount of joy can be inferred
2017-En-31545	The people that call in to POV on KX4 make my night. #hilarious	joy	3: high amount of joy can be inferred
2017-En-30254	Rojo is hilarious	joy	2: moderate amount of joy can be inferred
2017-En-30208	Icon is pochama.\nHe is very cute and easily elated.	joy	2: moderate amount of joy can be inferred
2017-En-31588	Well that draw is lively! #EFLCup	joy	1: low amount of joy can be inferred
2017-En-30459	#Followback Quote_Soup: Be happy not because everything is good, but because you can see the good side of everything. #optimism	joy	1: low amount of joy can be inferred
2017-En-31338	@FieldYates @MatthewBerryTMR @Stephania_ESPN @MikeClayNFL @FrankCaliendo goddamn...the 'celebrity' draft at the end was classic. #hilarious	joy	2: moderate amount of joy can be inferred
2017-En-31213	@SquishyJiminie aww thank you!! I'm definitely feeling much better today and your messages cheer me up too ☺️	joy	3: high amount of joy can be inferred
2017-En-30337	@globemartyk 'drunken patroons' make this whole situation much more jovial though.	joy	2: moderate amount of joy can be inferred
2017-En-30768	Shanghais chief distracting levity pampa - proper dingle carry away: uUDQujcia	joy	0: no joy can be inferred
2017-En-31302	IDC predicts that by 2020 the term cloud will no longer be used...'\n\nIT Managers and Administrators everywhere will rejoice.	joy	0: no joy can be inferred
2017-En-30771	@__Dayo yall dont feel bad.. you are rejoicing... it is what itnis... its always #ColtsNation even when we have 6th string DBs playing 😔😔	joy	0: no joy can be inferred
2017-En-30896	It feels good to get outside for a minute and get some fresh air.  It's hard to stay cooped up inside all day #breezy	joy	3: high amount of joy can be inferred
2017-En-31233	The best part of this day, Jesus, is to snuggle up in your embrace...to rest in your arms and know you love me...💙❤ #sweetEmbrace #delight	joy	3: high amount of joy can be inferred
2017-En-31486	Having a blast playing games and hearing testimonies at Pastor Jeremy's house #fellowship #food #laughter #praise #gospel #coffey1617	joy	3: high amount of joy can be inferred
2017-En-31594	@lakeline I still find you pleasing.	joy	1: low amount of joy can be inferred
2017-En-30749	f breezy	joy	0: no joy can be inferred
2017-En-30169	Getting cable hooked up in new place just in time for @NBCChicagoPD and @NBCChicagoMed premiers is like God smiling down on me. #OneChicago	joy	2: moderate amount of joy can be inferred
2017-En-30280	@AJStylesOrg I know they have you a scripted ego maniac but, I was so elated to hear that you are a devout Christian like myself. Phenomanal	joy	2: moderate amount of joy can be inferred
2017-En-30666	@lennyabrahamson May I send you a copy of #HeroTheGreyhound? Either e-book or real paper one! A boy and a greyhound #smiles #tears 	joy	0: no joy can be inferred
2017-En-30682	@buzzlightbeard2 If you don't love yourself... Honesty is the best policy 	joy	0: no joy can be inferred
2017-En-31263	Ok, it seems there is still hope in BSNL 🙂\nNow, BB speed is ok 🙂\nBut I won't thank and elate much lest it be gone again like before 😐🙂	joy	0: no joy can be inferred
2017-En-31059	tweet tweet chirp chirp losers	joy	0: no joy can be inferred
2017-En-30370	Watch this amazing live.ly broadcast by @haythatjamile8  #musically	joy	1: low amount of joy can be inferred
2017-En-30495	So is cheerfulness, or a good temper, the more it is spent, the more remains. Ralph Waldo Emerson	joy	1: low amount of joy can be inferred
2017-En-30351	Watch this amazing live.ly broadcast by @kaylaaa_sartorious  #musically	joy	1: low amount of joy can be inferred
2017-En-30548	@EtherealMystic_ - felt like he couldn't control — and here she was, giving so much of herself, selflessly pleasing him. His groans were -	joy	0: no joy can be inferred
2017-En-31221	brennan cook and breezy should get back together😍😍😍	joy	2: moderate amount of joy can be inferred
2017-En-31011	Oii oiii, @Louis_Tomlinson !!  \nTHANK YOU for always making me smile ! MY BIRTHDAY is in 16 days. 🎉 Mind following me as a gift ? 🎁 X225,884	joy	3: high amount of joy can be inferred
2017-En-31598	Will WHU be old bill free by the time the game with Chelsea comes around? 😂 😂 😂\nThat will be lively to say the least\n#AFC	joy	3: high amount of joy can be inferred
2017-En-31581	Just caught up with @RichardEGrant's wonderful new series on #EalingComedies. Infectious delight in every interview and film clip.	joy	2: moderate amount of joy can be inferred
2017-En-31114	#SIGUEMEYTESIGO #happy #snapchat Manuellynch99 #venezuela	joy	2: moderate amount of joy can be inferred
2017-En-30521	@delon03 can you at least just walk past her and break out into laughter	joy	1: low amount of joy can be inferred
2017-En-31597	Dehydrated, exhausted, stressed but still blessed. #optimism	joy	0: no joy can be inferred
2017-En-30218	Why have I only just started watching glee this week I am now addicted 🙄 #glee #GLEEK	joy	2: moderate amount of joy can be inferred
2017-En-31301	@Coffeeking12 @jsavite I was injecting a little levity! The person who tweeted the coke/rape tweet is obviously an idiot	joy	0: no joy can be inferred
2017-En-31444	If you love singing, but don't have time for a weekly choir, come down to #KWOIR at @theartworksuk tomorrow! #Choir  #musiclondon	joy	1: low amount of joy can be inferred
2017-En-30519	incetown, age 23, joyful, elevated in hope with the	joy	1: low amount of joy can be inferred
2017-En-30238	Only Geo is capable of cheering me up❤️❤️❤️	joy	2: moderate amount of joy can be inferred
2017-En-30957	@paraplyene @soupper i just read it and it's so fun??!!!! So lighthearted and cheerful, i was right, it's a double cavity for me.	joy	2: moderate amount of joy can be inferred
2017-En-30330	@lawson__lynch my kinda girl pleasing the dick right😍😏	joy	2: moderate amount of joy can be inferred
2017-En-30249	Rojo is so bad it's hilarious.	joy	2: moderate amount of joy can be inferred
2017-En-30732	Val is far too cheery for my liking ✋🏻	joy	0: no joy can be inferred
2017-En-31344	May a man live well-, and long-enough, to leave many joyful widows behind him.	joy	2: moderate amount of joy can be inferred
2017-En-30032	LOVE LOVE LOVE  #fun #relaxationiskey	joy	3: high amount of joy can be inferred
2017-En-30284	Watch this amazing live.ly broadcast by @flydudern  #musically	joy	2: moderate amount of joy can be inferred
2017-En-30667	@CNBCFastMoney Harwood gleeful at these new numbers, bet your money on this reporting...look to lose it...@HillaryClinton liarthiefscoundrel	joy	0: no joy can be inferred
2017-En-31377	@howcaniapply @radioscarboro Much to my delight!	joy	3: high amount of joy can be inferred
2017-En-30122	Something about these cool, breezy fall days.. 😍🍂🌾🍁	joy	3: high amount of joy can be inferred
2017-En-30382	Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up.  #comedy #maybeoneday #hopefullyfunny #LOL	joy	1: low amount of joy can be inferred
2017-En-30377	- the joyous occasion of laughing at the ostentatious display of disrespect. Bruce just scoffed at the entire scene. This wasn't Batman’s -	joy	1: low amount of joy can be inferred
2017-En-30089	Good morning, Trondheim! #optimism #productivity ⛅️❤️🇳🇴🏢💻🖥🏋🏻💪🏼📺🍿	joy	3: high amount of joy can be inferred
2017-En-30810	@MaxVenator We've had no foreign policy but have had goofy Secretary of State John Kerry with his devil may care pose and jaunty blue scarf.	joy	0: no joy can be inferred
2017-En-30952	angel delight is my everything	joy	2: moderate amount of joy can be inferred
2017-En-30880	Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME	joy	1: low amount of joy can be inferred
2017-En-30273	Watching Avatar and wondering why I took so long to watch this *collapses in a joyous heap*	joy	2: moderate amount of joy can be inferred
2017-En-31239	@_BlueCouture The hilarity of you people not realising that racism is racism regardless of whether one uses choice words is hilarious.	joy	0: no joy can be inferred
2017-En-31577	Try to find the good in the negative. The negative can turn out to be good.\n #anxietyrelief  #openminded	joy	0: no joy can be inferred
2017-En-30305	promise of restoration to the nation of israel...'everywhere you look blessing '..barns/wine overflow.Everything beautiful  #do_u_see	joy	2: moderate amount of joy can be inferred
2017-En-30907	#GBBO can cheer me up ☺️	joy	1: low amount of joy can be inferred
2017-En-30436	repentance, and trusting in Christ. It is lowly and painful, but it is also joyous, peaceful, and absolutely glorious. (2/2)	joy	1: low amount of joy can be inferred
2017-En-31093	@BjerkeDanielle @FunnySayings lol that's hilarious	joy	3: high amount of joy can be inferred
2017-En-30942	@IreneEstry can't wait to see you Hun #cuddles #gossip #laughter	joy	3: high amount of joy can be inferred
2017-En-30995	y'all shabazz's name in my phone is 'easy breezy beautiful' &amp; I will not apologize.	joy	0: no joy can be inferred
2017-En-30935	#blackish always has me #rollin 	joy	2: moderate amount of joy can be inferred
2017-En-30917	@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'	joy	0: no joy can be inferred
2017-En-31592	@xmaseveevil1. #MSM is rejoicing that they've fooled us with these body doubles for so long &amp; now her death is a secret. Just like Hawkings	joy	0: no joy can be inferred
2017-En-31327	Headed to Montalvo w/@jaxster3—bring on the #mirth, bitches!\nd(-_-)b\n@Nick_Offerman\n@MeganOMullally\n#SummerOf69Tour2016	joy	1: low amount of joy can be inferred
2017-En-31352	@Irenelove83 heres what we can do, Get Brock and Sable to tag team mr and mrs AWOL and watch with glee	joy	1: low amount of joy can be inferred
2017-En-31612	I refuse to be a chirp chirp girl	joy	0: no joy can be inferred
2017-En-31044	But uncle buck is on tho . #UncleBuck 	joy	1: low amount of joy can be inferred
2017-En-30248	There is something v satisfying about  opening an old 'to do'.doc file and being able to check off all the things you have done 	joy	2: moderate amount of joy can be inferred
2017-En-30683	listening to the Oblivion score, drinking coffee, researching for new sci-fi animated project.	joy	0: no joy can be inferred
2017-En-30520	@88Palouseriver @ABC @NRA I rejoice everything time some moron is taken out of the genetics pool.	joy	1: low amount of joy can be inferred
2017-En-30016	@WyoWiseGuy @LivingVertical however, REI did offer me the job today as well. Can't believe how exponentially freaking joyous I feel...!!!	joy	3: high amount of joy can be inferred
2017-En-31150	Sharpened a pencil today, haven't sharpened once since 1999. ✏️ 	joy	1: low amount of joy can be inferred
2017-En-30605	Athenian: When mirth is the order of the day, he ought to be honoured most who gives most mirth to the greatest number (Laws)	joy	0: no joy can be inferred
2017-En-30994	@WHUFC_HUB @westhamtransfer @TheHammers_ I don't see any reason for optimism at this point. Just stringing together bad performances.	joy	0: no joy can be inferred
2017-En-30348	Watch this amazing live.ly broadcast by @swagrman_fan  #musically	joy	1: low amount of joy can be inferred
2017-En-31021	Starting at 22 minutes, this week's @bestshow4life is straight-up paradigm shift level mirth.	joy	1: low amount of joy can be inferred
2017-En-31101	The world needs more laughter, more love, and a little more of you. - R.M Drake.	joy	1: low amount of joy can be inferred
2017-En-31433	#ilofitt is #laughter #happiness #spiritual #mental #physical #pizza. Just kidding about the pizza. Work hard in all facets for a fitlife!	joy	3: high amount of joy can be inferred
2017-En-31013	My @timehop literally cracks me up when I see posts from 2 years ago and later 😂 	joy	3: high amount of joy can be inferred
2017-En-31214	@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.	joy	1: low amount of joy can be inferred
2017-En-30110	Always be #cheerful, #smile often make others happy, care for others, help who feel helpless and #vulnerable. Life feels good #leadership	joy	3: high amount of joy can be inferred
2017-En-30151	#ContentwiththeLordsPortion:O satisfy us early with thy #mercy;that we may #rejoice &amp; be glad all our days.#Ps 90:14 #gladness #joy 	joy	3: high amount of joy can be inferred
2017-En-30250	I'm due for a big change! I've prayed on it, I think I deserve it #positivity 	joy	2: moderate amount of joy can be inferred
2017-En-30106	Just had #efficient #great #smiling service @AppleBelgique store. Impressive team of geniuses ready to redefine what customer service is!	joy	3: high amount of joy can be inferred
2017-En-31408	Always hurting somewhere..... ALWAYS tired ....when are you lively ??	joy	0: no joy can be inferred
2017-En-31402	Incredible that Nawaz Sharif said Pakistan is victim of terrorism &amp; talked abt development in Pak. Incredible how he controlled his laughter	joy	0: no joy can be inferred
2017-En-30968	Keep smiling :)	joy	2: moderate amount of joy can be inferred
2017-En-30391	I can not depict what I feel right now.. I feel jubilant yet anxious, or..dunno. It seems like now I'm having something worth wait everyday.	joy	1: low amount of joy can be inferred
2017-En-31379	Love your new show @driverminnie 	joy	3: high amount of joy can be inferred
2017-En-31058	@ReginalTSquirge you could add a jaunty bow\nOr bells	joy	1: low amount of joy can be inferred
2017-En-30766	categ than GEN &amp;OBC it cost only 100 or nill .i am not against the reservation and i support it,sir minimize the fees #bright fut @PMOIndia	joy	0: no joy can be inferred
2017-En-30401	Watch this amazing live.ly broadcast by @kana_blender #lively #musically	joy	1: low amount of joy can be inferred
2017-En-31514	Literally dying &amp; living at the same time as I catch up on @adrian_ver 's twitter. If you aren't following him your life is BASIC. 	joy	0: no joy can be inferred
2017-En-31439	The irony and hilarity of making Taylor Lautner super cold all the time is not lost on me. God I missed this show 😂#ScreamQueens	joy	3: high amount of joy can be inferred
2017-En-31090	And girl I love your perfume there's something bout you 🎧 	joy	3: high amount of joy can be inferred
2017-En-30306	Look forward to the detours because they bring delightful surprises. #lifequote #delight	joy	2: moderate amount of joy can be inferred
2017-En-30014	😱 @cailamarsai you've had me 😂 😂 the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo	joy	3: high amount of joy can be inferred
2017-En-30892	Sioux Valley wins home competitive #cheer invite with a score of 158. ...Dell Rapids second at 138	joy	2: moderate amount of joy can be inferred
2017-En-30740	#OneSimpleChange: Drink sparkling water instead of soft drinks to steer clear of fructose while still getting a refreshing carbonation kick.	joy	0: no joy can be inferred
2017-En-30870	@Communism_Kills i get the subway melt and make sure it's only hearty italian bread... black olives are a must though	joy	0: no joy can be inferred
2017-En-31121	I'm still laughing 'Bitch took my pillow' line  #kurt	joy	2: moderate amount of joy can be inferred
2017-En-30286	Accept the challenges so that you can feel the exhilaration of victory.	joy	2: moderate amount of joy can be inferred
2017-En-30199	Bunk ur class📚 at least once in your life time cuz later when u look back good marks will not make u happy but memories😊 will'    -APJ	joy	2: moderate amount of joy can be inferred
2017-En-30805	@Onision @Eugenia_Cooney annoyed by the good loving fans of Onision including myself Is really annoyed at how people just are too cheerful.	joy	0: no joy can be inferred
2017-En-31419	Finally have all my braces on and I can't stop smiling 😊😊😊😊😊	joy	3: high amount of joy can be inferred
2017-En-20823	I really hate Mel and Sue. They think they're hilarious and they're just awful	joy	0: no joy can be inferred
2017-En-30359	Time to go hit up the library - I have a lovely PILE of book reservations to collect this morning...  #books #reading	joy	1: low amount of joy can be inferred
2017-En-31401	Pochettino buoyant. Complimentary about his young players. But says 'now our attention turns to Middlesbrough'. #THFC @BBCLondonSport	joy	0: no joy can be inferred
2017-En-31527	@enews #breezy deserve it..	joy	1: low amount of joy can be inferred
2017-En-30438	@AQpk which was worse than expected and hilarious too. no one will even remember.	joy	1: low amount of joy can be inferred
2017-En-31034	Girlfriends cooking me dinner again. spag blow it is, not to sure if she need my help 😂😂 #girlfriends 	joy	3: high amount of joy can be inferred
2017-En-30661	@_Kdddd drop some off at 1133 cheery	joy	0: no joy can be inferred
2017-En-30266	@KWAYNTjoia it's exhilarating	joy	2: moderate amount of joy can be inferred
2017-En-31040	A #smile can mean a thousand words, but it can also hide a thousand #problems. #Fact #TeamFollowBack	joy	0: no joy can be inferred
2017-En-30911	The race advances only by the extra achievements of the individual. You are the individual. ~Charles Towne\n #optimism #inspire	joy	0: no joy can be inferred
2017-En-30452	*ZETH voice*: Hit The Target \n (holds up upside down cheering towel)	joy	1: low amount of joy can be inferred
2017-En-30193	Thinking about trying some comedy on youtube. Always been fond of it. Time to nut up. #laughter #comedy #maybeoneday #hopefullyfunny #LOL	joy	2: moderate amount of joy can be inferred
2017-En-31052	Every time I hear @jtkantor's organ kick in on the new @sayswhopodcast, I break into the goofiest smile.	joy	3: high amount of joy can be inferred
2017-En-30432	Anyone know how the #Mariners did today? The mood here seems strangely jubilant! As Meatloaf says, 2 out of 3 ain't bad, unless you win one!	joy	1: low amount of joy can be inferred
2017-En-31238	Well that was exhilarating. I didn't know you could have goosebumps for 2 hrs 5m straight.	joy	2: moderate amount of joy can be inferred
2017-En-30927	@Langston_Hunter Yeah bro it eas hella exhilarating	joy	2: moderate amount of joy can be inferred
2017-En-30493	@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile	joy	1: low amount of joy can be inferred
2017-En-31442	This night is sparkling don't you let it go,\nI'm wonder struck,\nBlushing on the way home.'	joy	3: high amount of joy can be inferred
2017-En-30711	god, Facebook's design has started to remind me of MySpace in its heyday	joy	0: no joy can be inferred
2017-En-30700	One time I saw Rachel from glee tell someone their job was on a pole and I said that in 5th grade to a boy and he look confused	joy	0: no joy can be inferred
2017-En-30569	Blake lively is flawless	joy	0: no joy can be inferred
2017-En-31381	@Ginger_Naylor *Connie came back in* Hey you seem a bit more lively	joy	1: low amount of joy can be inferred
2017-En-30685	@CNN &amp; @donlemon must be rejoicing ovet #Charlotte protests. \n#NorthCarolina	joy	0: no joy can be inferred
2017-En-31450	I understand now...if it's not pleasing to the ear...then it ain't what you want! I'm so so tired!!	joy	0: no joy can be inferred
2017-En-30770	Unixware skydrive-cokie hearty exactment blame online: HEpHXhO	joy	0: no joy can be inferred
2017-En-30688	smiling through the stress :) :) :) :) :) :) :( :( :( :( :( :( :(	joy	0: no joy can be inferred
2017-En-31544	ari looks hilarious oh my g d this is too much	joy	3: high amount of joy can be inferred
2017-En-30393	Just now we were rejoicing that we finally won a match the draw just revealed that we are facing city next. This life sef	joy	1: low amount of joy can be inferred
2017-En-30955	#terribledebatequestions has given me so many laughs this afternoon! Thanks Twitter! #hilarious #cleverpeople	joy	3: high amount of joy can be inferred
2017-En-31147	I gave up on the U20 Rugby bet on the Roosters!  #nrl	joy	0: no joy can be inferred
2017-En-30410	#ukedchat A4 Just go outside (or to the gym hall) and play! \n#education #playful #learning	joy	1: low amount of joy can be inferred
2017-En-30124	@ArtyBagger With or without cake seeing your wee cheery face is always a joy xx	joy	3: high amount of joy can be inferred
2017-En-31425	@URClassless I think that yawning actor died of a drug overdose. 	joy	0: no joy can be inferred
2017-En-30654	i bet dat dog eating name brand cheerios. cant relate. i eat cheery O's	joy	0: no joy can be inferred
2017-En-31006	 @cailamarsai you've had me   the whole time watching @black_ishABC after you've lost your #glasses! It was #hilarious! @mrbabyboogaloo	joy	3: high amount of joy can be inferred
2017-En-30923	So happy I live in NYC! See you tomorrow .....@SamHeughan @Barbour	joy	3: high amount of joy can be inferred
2017-En-30634	I take a strange delight from seeing mark Hughes struggle	joy	0: no joy can be inferred
2017-En-30349	Vacation wise, Egypt offers great places, amazing scenery, bright skies and good weather at a very good and affordable price for students.	joy	1: low amount of joy can be inferred
2017-En-30144	Riggs dumb ass hell lolol #hilarious #LethalWeapon	joy	3: high amount of joy can be inferred
2017-En-31385	Lunatic Asylum: The place where optimism most flourishes.	joy	1: low amount of joy can be inferred
2017-En-30651	@eachus At least he's willing to discuss, better than most. That and keep the insults light with occasional levity or creative BS-ing,	joy	0: no joy can be inferred
2017-En-30496	@smoothkobra after such a heavy 2 days this has given much needed levity. Thanks bro	joy	1: low amount of joy can be inferred
2017-En-30040	@palmtreesarah @WorthingTheatre had more fun than the funniest person in funsville..... Much hilarity as usual.... Thank you ❤️	joy	3: high amount of joy can be inferred
2017-En-30727	At 12:01, Tumblr became sentient. At 1.:02, Tumblr posted gn animated gif about it. At 12:03, Tumblr shipped itself.	joy	0: no joy can be inferred
2017-En-31503	The bits that were cooked actual tasted ... no, ok, the cooked AND raw bits tasted awful. 5/5 hilarity, 1/5 taste, 0/5 safe to ingest	joy	0: no joy can be inferred
2017-En-31373	@JimRichMoriarty + I am in your life! *He yells* Surprise, surpriiise! *He chirps cheerfully, with a wicked grin on his lips*	joy	2: moderate amount of joy can be inferred
