ID	Tweet	anger	anticipation	disgust	fear	joy	love	optimism	pessimism	sadness	surprise	trust
2017-En-10827	Follow me on Snapchat 👻 Carlabtst15 #snapchat 	0	0	0	0	1	0	1	0	0	0	0
2017-En-10252	@lemonlover666 'shit' doesn't even begin to describe these fiery little demons straight from hell 🌝🌚 ;)	1	0	1	0	0	0	0	0	0	0	0
2017-En-40175	It's way too hard not to get discouraged.	1	0	0	0	0	0	0	1	1	0	0
2017-En-31116	@JessicaZ00 @ZRlondon ditto!! Such an amazing atmosphere! #PhilippPlein #cheerleaders #stunt #LondonEvents #cheer	0	0	0	0	1	1	0	0	0	1	0
2017-En-21998	Somewhere I rd a rpt tht Pakis wr afraid of TSD &amp; asked it 2 shut dn. Congis obliged &amp; exposed it,hounded them.time to revive. #BadlaofUri	0	0	0	0	0	0	0	0	0	0	0
2017-En-40520	Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff	1	0	1	1	0	0	0	0	0	0	0
2017-En-11180	Manchester derby at home 	0	0	0	0	1	0	0	0	0	0	0
2017-En-21565	It'd probably be useful to more than women, but I'm dealing with re-reading an article about a woman being harassed on the subway. #concern	1	0	1	1	0	0	0	1	0	1	0
2017-En-31526	@Girlandlurchers Yep, peeps on here always out to cheer others up! I'm fine, drooling at GBBO x	0	0	0	0	1	0	1	0	0	0	0
2017-En-11538	@JaredWyand Maybe if it was transgender the media would cover it #outrage	1	0	0	0	0	0	0	0	1	0	0
2017-En-30572	her; i want a playful relationship\nme; *kicks her off the couch*	0	0	0	0	1	0	0	0	0	0	0
2017-En-21333	Romero is fucking dreadful like seriously my 11 month old is better than him.	1	0	1	0	0	0	0	0	0	0	0
2017-En-30855	Each day is what you make of it! #goals #challenges #business #goals   #success #photographer #photography #ThursdayThoughts	0	0	0	0	1	0	1	0	0	0	0
2017-En-10522	Since the 'update' my @iPhone loses power nearly 40% faster. 	1	0	1	0	0	0	0	0	1	0	0
2017-En-11191	@KatherineArabis It’s taken for granted, while the misogyny in the air is treated as normal — and any angry response to it as pathological.	1	0	1	0	0	0	0	0	0	0	0
2017-En-40717	All clouded out.\n\n Considering using a camera, 1) star trails 2) eyepiece projection.	0	1	0	0	1	0	1	0	0	0	0
2017-En-30639	@KMunie7 @KaranEsch Helluva lot more animated than they were for the actual game &gt;.&lt;	0	1	0	0	1	1	1	0	0	0	0
2017-En-40973	@onefumi oh I see. I've seen so many people mourn the loss that I was surprised to see your tweet. I suppose same old here in SA	0	0	0	0	0	0	0	0	1	1	0
2017-En-10924	Anger, resentment, and hatred are the destroyer of your fortune today.	1	0	0	0	0	0	1	0	0	0	0
2017-En-30454	Optimism leads to success. - Bill Kerr @Coach__Kerr #success #optimism #goals	0	0	0	0	1	0	1	0	0	0	1
2017-En-10160	@SkyUK what a joke!! Cut our internet off early 'by mistake' and then don't reinstate it when we no longer need an engineer 😡 	1	0	1	0	0	0	0	0	1	0	0
2017-En-41446	@jimmyfallon @ShawnMendes I'm just a sucker for pine, I wanna rake you up, I wanna pile you down, I'm just a sucker for pine #FallSongs	1	0	0	0	1	0	0	0	0	0	0
2017-En-40180	so gutted i dropped one of my earrings down the sink at school	0	0	0	0	0	0	0	0	1	0	0
2017-En-30531	The Quarterback' wrecks me every time.. #glee	0	0	0	0	1	0	1	0	0	0	0
2017-En-20212	@Montel_Williams If this ban goes through, it will harm so many people, disabled veterans, people who have #chronicpain,  #iamkratom	0	0	1	0	0	0	0	0	0	0	0
2017-En-21787	Happy birthday to Stephen King, a man responsible for some of the best horror of the past 40 years... and a whole bunch of the worst.	0	0	0	0	1	0	0	0	0	0	0
2017-En-20704	“ My courage always rises at every attempt to intimidate me.”\n-Elizabeth Bennett (Pride and Prejudice)\n#Quotes #Courage #FaceYourFears	0	1	0	0	0	0	1	0	0	0	1
2017-En-41483	it's still not sunk in that im seeing joe next month, im so grateful and excited shit	0	0	0	0	1	0	1	0	0	0	0
2017-En-21072	It's a good day at work when you get to shake Jim Lehrer's hand. Thanks, @keratx! Still kicking myself for being to shy to hug @mcuban.	0	0	0	0	1	1	0	0	0	0	0
2017-En-21699	I'm so bored and fat and full and ridiculously overweight and rolls galore 	0	0	1	0	0	0	0	1	1	0	0
2017-En-40479	The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround	0	0	0	0	1	0	1	0	0	0	0
2017-En-10651	If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work 	0	0	0	0	1	0	1	0	0	0	0
2017-En-40208	@happyandbashful Flirt, simper, pout, repeat. Yuck.	1	0	1	0	0	0	0	0	0	0	0
2017-En-10597	Trumpism likewise rests on a bed of racial resentment that was made knowingly and intentionally, long before Trump got into politics.	1	0	1	0	0	0	0	1	0	0	0
2017-En-10141	There's this Bpharm4 guy Eish that guy brings anger into my life. When I see him nje like darkness fills me @RamatsobaneM will know	1	0	1	0	0	0	0	0	0	0	0
2017-En-40834	Soooo badly want to dye my hair dark but have never been dark before soooo torn 😭😭😭	1	0	1	0	0	0	0	0	1	0	0
2017-En-11414	Tears and eyes can dry but I won't, I'm burning like the wire in a lightbulb	1	0	0	0	0	0	0	0	0	0	0
2017-En-10668	Nor hell a fury like a woman scorned -- William Congreve	1	0	0	1	0	0	0	0	0	0	0
2017-En-41355	@icapturpix @DRUDGE_REPORT I agree. This current, ultra-left Democratic party lost a lot of members, including myself. I switched to Repub.	0	0	0	0	0	0	0	0	0	0	0
2017-En-40348	@DeltaAssist Tried 2 get earlier flt 2day  @BWI Turnd away bcuz it was 2 late Then agent let other pas on #silvereliteleftbehind 	0	0	1	0	0	0	0	0	1	0	0
2017-En-11637	@matthew_meadows Since it's a friend of Pereg's I don't want to offend :) #Peace	0	0	0	0	1	0	1	0	1	0	1
2017-En-41252	@antoboyle I so wish you could someday come to Spain with the play, I can't believe I'm not going to see it #sad	0	0	0	0	0	0	0	0	1	0	0
2017-En-20636	@VectoneMobileUK The worst customer service and lack of professionalism from this service provider! #phoneprovider #badbusiness 	1	0	1	0	0	0	0	0	1	0	0
2017-En-21387	Val got a little too big for her hiking boots with that bakewell, the little terror #GBBO	0	0	0	1	1	1	0	0	0	0	0
2017-En-30095	@Myahrissavietta I'm cheery now 😘😉	0	0	0	0	1	1	1	0	0	0	0
2017-En-30904	Bridget Jones' Baby was bloody hilarious 😅 #BridgetJonesBaby	0	0	0	0	1	0	1	0	0	0	0
2017-En-22055	I had really strange and awful dreams last night. I'd didn't even eat cheese before bed  #lovemysleep	1	0	1	1	1	1	0	0	1	0	0
2017-En-41195	@dublinwaltz bts' 화양연화 trilogy MV is my all time fav🙌 quite gloomy but beautiful as well✨	0	0	0	0	1	1	0	0	0	0	0
2017-En-40404	Brad Pitt being investigated for child abuse?! this all just got really #dark	1	0	1	0	0	0	0	0	1	0	0
2017-En-30533	Watch this amazing live.ly broadcast by @matt.boss  #musicallyjh	0	1	0	0	1	0	1	0	0	1	0
2017-En-21118	should I #start posting #photos?	0	1	0	0	0	0	0	0	0	0	0
2017-En-10241	@JasonMillerinDC @realDonaldTrump Prudence suggests that a 8+% bump over 2-3 weeks should be viewed with SKEPTICISM. Media/HRC axis #angry	1	0	1	0	0	0	0	0	0	0	0
2017-En-30917	@DDogsScout 'Oh!' Almost with odd cheerfulness, Big Boss offers: 'Muzzle flash blinding. Accidental by the guy who became my best friend.'	1	0	1	0	1	0	1	0	0	0	0
2017-En-30090	Thank you disney themed episode for letting me discover how amazing the @BlackishWriters are! #hilarious	0	0	0	0	1	0	0	0	0	0	0
2017-En-10331	Need a new outlet for #rage	1	0	1	0	0	0	0	0	0	0	0
2017-En-30555	Watch this amazing live.ly broadcast by @brooks_swaggysquad  #musically	0	1	0	0	1	1	1	0	0	0	0
2017-En-30097	Rewatching 'Raising Hope' (with hubs this time) and totally forgot how hilarious it is 😂 #HereWeGo	0	0	0	0	1	1	0	0	0	0	0
2017-En-11332	@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great #sting #xph	0	0	0	0	1	0	0	0	0	0	0
2017-En-20652	@PatBlanchfield so you mean “like Uber but for despair for someone other than the driver'	0	0	1	0	0	0	0	0	0	0	0
2017-En-30493	@buzzlightbeard2 If you don't love yourself... Honesty is the best policy #smile	0	0	0	0	1	0	1	0	0	0	1
2017-En-10426	@healeyraine I'm offended, I actually am	1	0	0	0	0	0	0	0	1	0	0
2017-En-21029	In my room 101 would go  Russell Howard,Tom Odell,Michael Buble!!! #pants #nogood 	1	0	1	0	0	0	0	1	1	0	0
2017-En-40299	Gaaaaaaaad! Should have stayed in London!	1	0	1	0	0	0	0	0	1	0	0
2017-En-31237	May the optimism of tomorrow be your foundation for today.	0	0	0	0	0	0	1	0	0	0	0
2017-En-40565	@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost	0	0	0	0	1	0	1	0	1	0	0
2017-En-21772	@GambinoDeeJay @Linda76Graham @mikeeshy \n\nAnd also, trying to find it on Youtube is a fucking nightmare.	1	0	1	0	0	0	0	0	0	0	0
2017-En-30068	@TheSandraGal Glad to see that you're having fun in the sun. Water sports are always fun, challenging, and exhilarating. #happiness #beauty	0	0	0	0	1	1	1	0	0	0	1
2017-En-11436	@Bungie spent over 2 fucking hours and still can't get that dam SIVA fragment on Fellwinters peak mountain 	1	0	1	0	0	0	0	0	0	0	0
2017-En-22096	@andreasarahco do you actually heely on campus bc this should scare you	0	0	0	1	0	0	0	0	0	0	0
2017-En-21099	#GetSmartWithARQ is a smart way to start investing and #whiteicenetwork is smart source 2 #start #skilled #manpower #recruitment for ur firm	0	1	0	0	1	0	1	0	0	1	0
2017-En-21874	Omg I actually thought she was going to jump. #bully #SouthPark20 #southpark	0	1	0	0	0	0	0	0	0	0	0
2017-En-20961	@STLouis_RamsFan their whole team is limited when they're on the field. 	0	0	0	0	1	0	1	0	0	0	0
2017-En-41038	Happy Birthday, LOST! / #lost #dharmainitiative #12years #22september2004 #oceanic815	0	0	0	0	1	0	0	0	0	0	0
2017-En-22007	#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression  #anxietyprobz	0	0	0	1	0	0	0	0	1	0	0
2017-En-31143	This night is sparkling, don't you let it go! I'm wonderstruck, blushing all the way home..' #ValerieBot	0	0	0	0	1	1	1	0	0	1	0
2017-En-30188	The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman	0	0	0	0	1	1	1	0	0	0	0
2017-En-11477	People who go the speed limit irritate me	1	0	1	0	0	0	0	0	0	0	0
2017-En-40714	#FF \n\n@The_Family_X \n\n#soul #blues &amp; #rock #band\n\n#music from the #heart\n\nWith soul &amp; #passion \n\nXx 🎶 xX	0	0	0	0	1	0	0	0	0	0	0
2017-En-22201	Last @LGCanada product I buy - I promise! Absolutely  #CustomerService	1	1	1	0	0	0	1	0	0	0	0
2017-En-20269	@DaniQays @AJENews ohh.. so here comes sense from terror supporting stone pelting vandalizing ppl who gather b4 protests to announce ...	1	0	1	1	0	0	0	0	0	0	0
2017-En-41192	@jamiesmart Huh! It's always my fault isn't it &gt;:( #huff #sulk	1	0	1	0	0	0	0	0	1	0	0
2017-En-10265	@StarklyDark 'I know you trusted me.' His words were soft as he ignored the anger and focused on the hurt beneath. 'I know I screwed up.' --	1	0	1	0	0	0	0	0	1	0	0
2017-En-21785	@HMiglino @CParks777 @Coco_Wms @bodyfit67 @TruthEqualsFact @politicususa I have never been more anxious of a election in my life‼️ 	0	0	0	1	0	0	0	0	0	0	0
2017-En-31371	@Johncrookshanks 'Elizabeth Smith!' She said with a cheery smile 'Pleasure to meet you, sir! Where have you travelled from?'	0	1	0	0	1	0	1	0	0	0	1
2017-En-20844	My fav #movies are #horror but they don't make them like they used too. Haven't seen a great one in years	0	0	1	0	0	0	0	0	1	0	0
2017-En-11565	James: no 500k, no 50k, no 25k, no 10k. You fucked up. #bb18 #bitter  #shouldofVotedforNicole	1	0	1	0	0	0	0	0	1	0	0
2017-En-21703	I'd like to bridge the divide between Right and Left Twitter and say that the new Tweet truncating thing is fucking awful.	1	0	1	0	0	0	0	0	0	0	0
2017-En-21908	@AzyraiZelo I am shy xD	0	0	0	1	0	0	0	1	1	0	0
2017-En-11008	After what just happened. In need to smoke. 	1	0	0	0	0	0	0	0	0	0	0
2017-En-31214	@ATrumping hahahahahaha!! Oh gosh. You are hilarious. A black man trying to keep racism alive. Get out of here man.	1	0	1	0	1	0	1	0	0	0	0
2017-En-11581	Joes gf started singing all star and then Joe got angry and was all sing it right and started angrily singing it back at her	1	0	0	0	0	0	0	0	0	0	0
2017-En-10528	Chris ate all my mac n cheese so imma eat all his taffy #revenge	1	0	1	0	1	0	0	0	0	0	0
2017-En-30587	@JohnDotWhite I remember its heyday, but these ladies range in age from, I'd say, mid-30s to early 70s.	0	1	0	0	1	0	0	0	0	0	0
2017-En-21182	@BuzzFeed so this houses will get into my instestines and scare my poop and I'll shit my pants?	1	0	1	1	0	0	0	0	0	0	0
2017-En-41158	I came to work for no reason 😩🔫\nI could've stayed in bed	1	0	0	0	0	0	0	1	1	0	0
2017-En-20389	That old lady is cray cray #scared #BellaIsSoCute #awe #Empire	0	0	0	1	0	0	0	0	0	0	0
2017-En-21683	@MatherFamilys @SDICenter @CAllstadt \n\ndo REDNECKS intellectually intimidate you and force you to be their dancing clown?	1	0	1	0	0	0	0	1	0	0	0
2017-En-20110	hi my names anxiety and i have shaun	0	0	0	1	0	0	0	0	0	0	0
2017-En-30921	Sometimes I like to talk about my sadness.  Other times, I just want to be distracted by friends, laughter, shopping, eating...  \n\n#MHChat	0	0	1	0	0	0	0	0	1	0	0
2017-En-21773	Noooooo @GBBOUK without #MaryBerry will be #awful #endofanera going 2b so #lost @Channel4 have bought a #lameduck there #notallaboutthemoney	1	0	1	0	0	0	0	1	0	0	0
2017-En-21125	Ha! @mquirk @joshuahoodbooks Got your book after our 'meeting' at the Starbucks in NOLA. If Josh says it's terrific, I'm all in.	0	1	0	0	1	0	1	0	0	0	1
2017-En-30345	On the bright side, my music theory teacher just pocket dabbed and said, 'I know what's hip.' And walked away 😂😭	0	0	0	0	1	0	0	0	0	0	0
2017-En-40429	@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --	1	1	1	0	0	0	0	0	0	0	0
2017-En-22008	#PeopleLikeMeBecause they see the happy exterior, not the hopelessness I sometimes feel inside. #depression #anxiety #anxietyprobz	0	0	0	1	0	0	0	0	1	0	0
2017-En-30027	Morning all! Of course it is sunny on this Monday morning to cheerfully welcome us back to work.:)	0	0	0	0	1	0	1	0	0	0	0
2017-En-21478	#ThisIsUs has messed with my mind &amp; now I'm anticipating the next episode with #apprehension &amp; #delight! #isthereahelplineforthis	0	1	0	0	1	0	0	0	0	0	0
2017-En-20539	Although this war will be under the guise of combating terrorism it will in fact be a war against poverty, ignorance and just stupidity.	1	0	1	0	0	0	1	0	0	0	0
2017-En-20498	God we need a new goal keeper! They’re both horrific.	1	0	1	0	0	0	0	1	0	0	0
2017-En-21464	@maggyvaneijk Old age?! No hope for the rest of us. Destined to become deatheaters by 50 #nightmare	0	0	0	1	0	0	0	0	1	0	0
2017-En-21723	@asda if I wanted GREEN POTATOES, a bottle with the tag still on, plus soaking wet items delivered - I'm winning today-sadly I didn't 	0	0	0	0	0	0	0	1	1	1	0
2017-En-22154	Everybody's worried about stopping #terrorism. Well, there's a really easy way: stop participating in it. -  Noam Chomsky	0	0	0	1	0	0	1	0	0	0	0
2017-En-40139	wow almost all the T-Mobile stores in San Diego are out of Note7 replacements #sadness I need to get mine replaced	0	0	0	0	0	0	0	1	1	0	0
2017-En-41499	I am worried that she felt safe. #unhappy	0	0	0	1	0	0	0	0	1	0	0
2017-En-40494	@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you	0	0	0	0	1	1	0	0	1	0	0
2017-En-40997	I look at some of the average players that play at the min and pine Nani, Rafael , RVP ,	0	0	0	0	1	0	1	0	0	0	0
2017-En-21644	#ahs6 every 5 minutes I've been saying 'nope nope I'd be gone by now.' 'MOVE' or 'GTFO' so thank you for the 	1	0	0	0	0	0	0	0	0	0	0
2017-En-30722	@Nikhilv95 @LydiajaneF I wish, I really, truly wish, that I had just a modicum of your banter. 	0	1	0	0	1	0	1	0	0	0	0
2017-En-10969	HUGE CONGRATULATIONS TO NICOLE WINNING BIG BROTHER 18! @BBNicole #BB18 sorry not sorry #bitter #bbmichelle	1	0	1	0	1	0	1	0	0	0	0
2017-En-21183	Nothing worse than an uber driver that can't drive. #awful	1	0	1	0	0	0	0	0	0	0	0
2017-En-10107	Leave it on there, rule,nimber 1 of carpet cleaning!!! #furious #worsethananatomicbomb #accidentlyspillbeeronthecarpet	1	0	1	0	0	0	0	0	0	0	0
2017-En-10290	Said it before and I'll say it now: America is really fortunate that black people only want equality and not revenge.	0	1	0	0	1	0	0	0	0	0	0
2017-En-41366	@RIPPoohSavage u know ion play that shit bout my weary brother	1	0	1	0	0	0	0	0	0	0	0
2017-En-11127	@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees	1	0	1	0	0	0	0	0	0	0	0
2017-En-30963	Happy Birthday @Brooke56_56 #cheer #cheerchick #jeep #jeepgirl #IDriveAJeep #jeepjeep #Cheer	0	0	0	0	1	1	0	0	0	0	0
2017-En-30829	@Casper10666 I assure you there is no laughter, but increasing anger at the costs, and arrogance of Westminster.	1	0	1	1	0	0	0	0	0	0	0
2017-En-11459	Why are people even debating on race inequality within our justice system like it's non existent? They're just trying to aggravate us.	1	0	1	0	0	0	0	0	0	0	0
2017-En-40999	We're in contained depression. Only new economic engine is #Sustainability, say Joel @makower + @markmykleby @ #VERGEcon. #NewGrandStrategy	0	0	0	0	0	0	0	1	1	0	0
2017-En-21020	Solid starts by #Bozzelli and #BenEvans. Hoping for a good #start !	0	1	0	0	1	0	1	0	0	0	0
